diversity,equity,inclusion,document_length,Doc_ID
118.42077679177515,111.36564136109158,58.68595828183861,2140.0,13537424.F
379.18057169573973,311.00069771709417,205.0863519570285,8804.0,13537426.F
127.5968661601396,79.68627544688452,91.92007254231581,3025.0,13537430.F
193.70964587241915,135.3576196966636,96.39539563564355,3669.0,13537433.F
72.99214230439915,44.248273800421046,124.12366516368708,2620.0,13537435.F
62.20640687703328,160.0314045742225,73.75942696512296,2873.0,13537436.F
111.19909184012039,69.63091947581952,39.05181888490824,2841.0,13537440.F
141.6190655884439,92.66985338551957,62.880181995461754,2743.0,13537441.F
105.76455343930304,63.47294070444085,127.4091344550774,3074.0,13537446.F
118.93323001325426,133.99615101797943,35.82859107857544,2840.0,13537448.F
107.8988464300022,79.40643486723404,46.07993444082002,2078.0,13537460.F
138.13412381642883,47.76459059217615,367.85802990662705,4964.0,13537465.F
108.33482296856491,119.10409436516535,37.71441259647698,2686.0,13537466.F
62.61292121710019,85.87466893557409,82.91724949096562,2013.0,13537467.F
86.23046796065167,145.33910448743222,56.96418346218995,3127.0,13537468.F
47.414244857845986,128.83619285368889,36.75712479931952,1766.0,13537469.F
121.48218381407979,37.17984380805349,103.79096207805807,4414.0,13537478.F
84.69507557775556,47.03568302216015,36.077152690490244,2224.0,13537479.F
122.903297487749,73.7341303728565,22.30740342197638,2504.0,13537480.F
137.70481383574702,127.44308073613365,59.13786875318095,2612.0,13537492.F
138.36175985203235,166.064360752409,46.77032858102331,3403.0,13537495.F
150.96951175061204,50.02782970393112,226.39637942778643,5572.0,13537497.F
75.03679569348013,154.17657826706784,55.3111043513054,2571.0,13537499.F
110.29087929859577,142.57679482640947,63.95577061432641,2499.0,13537500.F
105.99366355306041,112.83596233996666,45.35356476006238,2532.0,13537505.F
112.4488564498715,142.43486335537756,61.70327192024308,2341.0,13537507.F
23.135194223855585,36.21850335177009,39.12718492631129,879.0,13537529.F
91.73284941309387,122.24902687340236,23.27214110943463,2106.0,13537531.F
124.5907219143367,38.87740409536094,187.01144421699777,2916.0,13537597.F
131.4386201882061,30.41950056208832,161.18740291370406,2303.0,13537598.F
98.59621149922245,25.88358424836552,136.43874271723175,2951.0,13537645.F
160.27447474309034,59.40301557075223,66.77497602677364,4610.0,13537662.F
143.99254907933937,127.8402990724368,42.543443992853305,2504.0,13537686.F
54.90722559611559,157.20659353011263,52.54541006680782,2658.0,13537694.F
164.2356664340471,183.09500397508143,44.644691713659505,3057.0,13537729.F
129.46953952640354,63.72010563674346,49.636860298128234,2306.0,13537752.F
91.10988314455255,60.67626090768085,34.20383487635352,1830.0,13537756.F
195.54823062889963,188.72546306536546,97.82329948280515,4469.0,13537759.F
149.35985181691427,140.40143680785604,48.886062131904886,3069.0,13537760.F
18.68597117731871,4.933674252960127,32.180724955184374,466.0,13537761.F
136.7101249224285,69.7031358169901,47.98190288832296,2321.0,13537766.F
106.2228859240356,131.09588410816187,32.08929754808414,3297.0,13537773.F
54.0503960085743,66.24944259967478,23.12709610053057,1589.0,13537775.F
118.35860408455036,59.65677020592587,40.71674938811984,3074.0,13537776.F
69.68279921066653,31.077878596847512,24.630286122002797,2010.0,13537781.F
140.41299493216297,66.64667634904625,73.2669683034275,2312.0,13537782.F
89.3235478524548,97.0771146600232,33.8679183656485,2925.0,13537786.F
101.95791741887166,52.1868560536654,23.89233682748587,1976.0,13537787.F
77.86830664476166,50.765547449514,65.63666509861729,2247.0,13537846.F
164.11864702029175,157.87918215412284,179.40491779616258,3999.0,13537857.F
