diversity,equity,inclusion,document_length,Doc_ID
31.264351980053245,30.839396098122148,34.48977272697996,669.0,562506.F
267.9252427638885,68.65887323656754,81.74161953721804,2998.0,608796.F
269.58065546831614,147.56430259583914,133.31623414271618,3434.0,612885.F
292.7216232487787,131.14574086216524,264.25439182820526,4193.0,615592.F
211.8908067034113,118.48498189007711,75.28774999933907,2451.0,617166.F
458.1917096319997,325.7030214039772,441.1153614817186,5412.0,625306.F
475.05382552711313,265.2297071094978,337.40006710946017,4286.0,625307.F
82.15795984523811,24.58317346063405,13.949949907322768,1221.0,634760.F
457.2473141598146,294.38407485135514,139.57173197973768,3907.0,643603.F
549.6306422800134,148.682897035179,246.7263182324515,4694.0,646332.F
