firm_id,diversity,inclusion,equity
Tikkurila Oyj,6.455,3.3954,4.8355
Tofas Turk Otomobil Fabrikasi AS,1.5513,1.6184,8.9329
Trane Technologies PLC,2.7143,4.989,6.0801
Transurban Group,0.6075,1.7081,6.7475
U.S. Bancorp,1.8443,1.988,6.6207
Ultra Clean Holdings Inc,2.3375,6.3232,7.1732
Unicaja Banco SA,0.8661,3.2506,16.9803
Uniqure NV,1.2087,1.5432,0.8505
Usio Inc,2.5502,2.9452,6.5549
VBI Vaccines Inc,1.6134,3.2547,1.0024
VMware Inc,4.4768,2.242,1.8392
ViaSat Inc,2.9049,6.4944,3.5705
WELL Health Technologies Corp,1.4664,1.6637,3.9909
WPP Aunz Ltd,1.267,4.2574,16.1055
Weibo Corp,2.1826,7.9404,5.7862
Whole Earth Brands Inc,2.9471,6.3137,7.0536
Wienerberger AG,1.799,1.9611,5.39
Williams Companies Inc,1.3787,1.5242,8.1357
Zoom Video Communications Inc,2.1634,2.2275,3.4432
ZoomInfo Technologies Inc,3.2322,0.678,2.8599
Zynerba Pharmaceuticals Inc,1.3856,3.276,1.2246
a2 Milk Company Ltd,1.5022,2.2579,5.145
cbdMD Inc,1.5538,6.2675,14.5959
iStar Inc,1.2,2.3245,14.4961
