diversity,equity,inclusion,document_length,Doc_ID
0,26,24,2978,12140641.F
15,15,44,2977,12141672.F
4,25,23,3918,12142180.F
3,6,45,4250,12142754.F
13,6,16,1631,12144745.F
2,29,50,3043,12145306.F
8,23,36,4119,12145925.F
4,23,61,4681,12158960.F
4,21,27,3272,12163185.F
2,7,8,2405,12165172.F
12,51,39,5605,12169762.F
0,8,12,823,12174929.F
0,24,29,2857,12178603.F
5,36,16,4800,12180321.F
3,13,27,2914,12180568.F
1,22,5,2465,12182076.F
0,17,14,2621,12182904.F
0,20,16,2008,12184301.F
2,11,27,3159,12186863.F
44,86,328,14398,12189542.F
48,260,244,7958,12190370.F
11,23,19,2765,12191799.F
6,29,81,4578,12193390.F
74,23,21,3508,12196206.F
5,9,12,5370,12197085.F
4,4,12,3854,12197091.F
2,2,6,4011,12197093.F
1,22,14,2716,12198850.F
3,37,16,4297,12199373.F
0,14,12,1722,12202337.F
24,70,175,20519,12204079.F
5,21,18,2859,12204832.F
9,28,42,5602,12211530.F
22,17,37,3828,12212023.F
3,8,13,1310,12212548.F
2,36,49,3639,12213144.F
108,78,228,2795,12215052.F
6,31,30,3393,12215573.F
1,39,17,3411,12215770.F
35,123,134,5930,12215879.F
16,50,29,5492,12216649.F
15,48,16,4100,12220940.F
5,34,27,4633,12221061.F
16,23,46,2260,12221582.F
45,350,202,8875,12222822.F
1,37,36,5477,12223159.F
0,27,24,3200,12223471.F
1,47,118,3359,12223974.F
1,8,3,1513,12224970.F
9,18,18,3775,12228170.F
4,31,96,5859,12228921.F
7,30,71,3185,12229028.F
1,12,16,1631,12230021.F
8,31,78,4644,12230139.F
1,39,72,3022,12230311.F
2,29,38,2438,12231293.F
5,13,28,4683,12231388.F
25,16,74,3342,12231679.F
7,27,21,3183,12232342.F
31,154,241,16682,12234729.F
3,11,30,3397,12235171.F
14,58,126,10611,12235174.F
1,19,30,3261,12235223.F
0,6,17,2895,12235836.F
15,125,105,15016,12236538.F
0,5,39,4876,12238859.F
3,58,59,5586,12239304.F
1,39,37,2952,12240397.F
3,21,6,2515,12244623.F
2,10,21,2106,12245202.F
0,10,31,946,12249595.F
2,22,38,1703,12250598.F
4,18,9,3172,12250746.F
0,12,2,1548,12251187.F
0,9,4,1400,12251875.F
0,17,9,2348,12252103.F
1,19,16,4020,12252445.F
10,13,38,4326,12252449.F
5,33,40,4295,12252453.F
0,33,27,4031,12252455.F
4,27,23,3841,12258337.F
0,58,40,3146,12259142.F
3,31,28,3589,12259186.F
8,46,54,6471,12259224.F
0,18,12,2560,12260480.F
1,20,13,1664,12260675.F
1,16,21,2972,12264874.F
5,19,14,3951,12265868.F
1,29,16,3207,12273900.F
4,30,9,3723,12273937.F
0,50,43,3742,12274575.F
1,15,29,1588,12275209.F
0,25,21,3423,12275420.F
0,16,12,1980,12275990.F
2,39,23,4445,12276094.F
